start_time,end_time,draw
1900-09-01 03:22:43,1900-09-01 03:23:23,0.009733333333333333
1900-09-01 07:29:37,1900-09-01 07:29:59,0.0074333333333333335
1900-09-01 07:31:31,1900-09-01 07:32:17,0.005616666666666667
1900-09-01 07:33:31,1900-09-01 07:33:35,0.0091
1900-09-01 07:35:25,1900-09-01 07:35:41,0.012116666666666666
1900-09-01 08:07:37,1900-09-01 08:07:53,0.0021833333333333336
1900-09-01 08:09:37,1900-09-01 08:09:59,0.009966666666666667
1900-09-01 08:11:31,1900-09-01 08:13:24,0.0006
1900-09-01 08:13:25,1900-09-01 08:13:53,0.005816666666666666
1900-09-01 08:13:54,1900-09-01 08:14:53,0.005216666666666666
1900-09-01 08:15:19,1900-09-01 08:16:41,0.006500000000000001
1900-09-01 08:17:19,1900-09-01 08:18:05,0.007533333333333334
1900-09-01 08:19:13,1900-09-01 08:19:59,0.012233333333333334
1900-09-01 08:21:07,1900-09-01 08:21:59,0.02325
1900-09-01 08:23:07,1900-09-01 08:23:11,0.013466666666666667
1900-09-01 08:34:55,1900-09-01 08:34:59,0.0104
1900-09-01 08:35:55,1900-09-01 08:36:48,0.0109
1900-09-01 08:36:49,1900-09-01 08:36:53,0.0311
1900-09-01 08:36:54,1900-09-01 08:37:29,0.0202
1900-09-01 08:48:49,1900-09-01 08:49:35,0.0161
1900-09-01 09:46:37,1900-09-01 09:47:05,0.017666666666666667
1900-09-01 09:48:31,1900-09-01 09:48:35,0.0029166666666666664
1900-09-01 10:20:31,1900-09-01 10:22:24,0.013433333333333334
1900-09-01 10:22:25,1900-09-01 10:23:17,0.018866666666666667
1900-09-01 10:23:18,1900-09-01 10:24:23,0.005433333333333333
1900-09-01 12:20:01,1900-09-01 12:20:05,0.03358333333333333
1900-09-01 12:23:37,1900-09-01 12:24:47,0.020183333333333334
1900-09-01 12:25:31,1900-09-01 12:25:47,0.029083333333333336
1900-09-01 12:40:07,1900-09-01 12:42:00,0.01515
1900-09-01 12:42:01,1900-09-01 12:42:05,0.0173
1900-09-01 12:42:06,1900-09-01 12:43:41,0.01515
1900-09-01 12:43:55,1900-09-01 12:44:35,0.0291
1900-09-01 12:45:55,1900-09-01 12:46:35,0.0182
1900-09-01 13:05:31,1900-09-01 13:05:35,0.012466666666666666
1900-09-01 13:29:01,1900-09-01 13:29:53,0.0159
1900-09-01 14:36:43,1900-09-01 14:39:53,0.01355
1900-09-01 16:00:31,1900-09-01 16:00:35,0.027483333333333335
1900-09-01 16:02:31,1900-09-01 16:03:59,0.0053
1900-09-01 16:07:55,1900-09-01 16:08:17,0.0032333333333333333
1900-09-01 16:09:49,1900-09-01 16:10:05,0.0072
1900-09-01 16:11:43,1900-09-01 16:11:47,0.005333333333333333
1900-09-01 16:34:31,1900-09-01 16:35:23,0.007816666666666666
1900-09-01 18:09:43,1900-09-01 18:10:11,0.0030166666666666666
1900-09-01 19:19:19,1900-09-01 19:19:35,0.008816666666666667
1900-09-01 19:24:25,1900-09-01 19:26:17,0.025816666666666665
1900-09-01 19:26:25,1900-09-01 19:27:05,0.01955
1900-09-01 20:33:19,1900-09-01 20:34:11,0.0241
1900-09-01 21:47:37,1900-09-01 21:48:41,0.03725
1900-09-01 21:49:13,1900-09-01 21:49:23,0.019766666666666665
1900-09-01 21:51:13,1900-09-01 21:52:17,0.012583333333333334
1900-09-01 21:53:07,1900-09-01 21:53:11,0.0019166666666666668
1900-09-01 21:55:01,1900-09-01 21:55:47,0.0176
1900-09-01 21:57:01,1900-09-01 21:58:11,0.0149
1900-09-01 21:58:55,1900-09-01 21:59:53,0.021500000000000002
1900-09-01 23:07:31,1900-09-01 23:07:47,0.029616666666666666
