Day #,Mains Temp (F)
1,50.051
2,49.941
3,49.832
4,49.726
5,49.622
6,49.521
7,49.422
8,49.325
9,49.231
10,49.139
11,49.050
12,48.963
13,48.879
14,48.797
15,48.718
16,48.642
17,48.568
18,48.497
19,48.429
20,48.363
21,48.300
22,48.240
23,48.182
24,48.127
25,48.075
26,48.026
27,47.980
28,47.937
29,47.896
30,47.858
31,47.823
32,47.791
33,47.762
34,47.736
35,47.713
36,47.693
37,47.675
38,47.661
39,47.649
40,47.640
41,47.635
42,47.632
43,47.632
44,47.635
45,47.641
46,47.650
47,47.662
48,47.677
49,47.695
50,47.716
51,47.739
52,47.766
53,47.795
54,47.828
55,47.863
56,47.901
57,47.942
58,47.986
59,48.032
60,48.082
61,48.134
62,48.189
63,48.247
64,48.308
65,48.371
66,48.437
67,48.506
68,48.577
69,48.651
70,48.728
71,48.807
72,48.889
73,48.974
74,49.061
75,49.151
76,49.243
77,49.337
78,49.434
79,49.534
80,49.635
81,49.739
82,49.846
83,49.955
84,50.066
85,50.179
86,50.294
87,50.412
88,50.531
89,50.653
90,50.777
91,50.903
92,51.030
93,51.160
94,51.292
95,51.425
96,51.560
97,51.697
98,51.836
99,51.977
100,52.119
101,52.262
102,52.408
103,52.555
104,52.703
105,52.853
106,53.004
107,53.156
108,53.310
109,53.465
110,53.621
111,53.779
112,53.937
113,54.097
114,54.258
115,54.419
116,54.582
117,54.745
118,54.910
119,55.075
120,55.241
121,55.407
122,55.574
123,55.742
124,55.910
125,56.079
126,56.248
127,56.418
128,56.588
129,56.758
130,56.928
131,57.099
132,57.270
133,57.441
134,57.611
135,57.782
136,57.953
137,58.124
138,58.294
139,58.465
140,58.635
141,58.805
142,58.974
143,59.143
144,59.311
145,59.479
146,59.647
147,59.814
148,59.980
149,60.145
150,60.310
151,60.473
152,60.636
153,60.798
154,60.960
155,61.120
156,61.279
157,61.437
158,61.593
159,61.749
160,61.903
161,62.056
162,62.208
163,62.359
164,62.507
165,62.655
166,62.801
167,62.945
168,63.088
169,63.229
170,63.369
171,63.507
172,63.643
173,63.777
174,63.909
175,64.040
176,64.168
177,64.295
178,64.420
179,64.542
180,64.663
181,64.781
182,64.898
183,65.012
184,65.124
185,65.233
186,65.341
187,65.446
188,65.549
189,65.649
190,65.747
191,65.843
192,65.936
193,66.026
194,66.115
195,66.200
196,66.283
197,66.364
198,66.442
199,66.517
200,66.589
201,66.659
202,66.727
203,66.791
204,66.853
205,66.912
206,66.968
207,67.022
208,67.072
209,67.120
210,67.165
211,67.207
212,67.247
213,67.283
214,67.317
215,67.347
216,67.375
217,67.400
218,67.422
219,67.441
220,67.457
221,67.470
222,67.481
223,67.488
224,67.492
225,67.494
226,67.492
227,67.488
228,67.481
229,67.470
230,67.457
231,67.441
232,67.422
233,67.400
234,67.375
235,67.347
236,67.316
237,67.283
238,67.246
239,67.207
240,67.165
241,67.119
242,67.072
243,67.021
244,66.967
245,66.911
246,66.852
247,66.790
248,66.726
249,66.658
250,66.588
251,66.516
252,66.440
253,66.363
254,66.282
255,66.199
256,66.113
257,66.025
258,65.934
259,65.841
260,65.746
261,65.648
262,65.547
263,65.444
264,65.339
265,65.232
266,65.122
267,65.010
268,64.896
269,64.780
270,64.661
271,64.541
272,64.418
273,64.293
274,64.167
275,64.038
276,63.907
277,63.775
278,63.641
279,63.505
280,63.367
281,63.227
282,63.086
283,62.943
284,62.799
285,62.653
286,62.505
287,62.356
288,62.206
289,62.054
290,61.901
291,61.747
292,61.591
293,61.434
294,61.276
295,61.117
296,60.957
297,60.796
298,60.634
299,60.471
300,60.307
301,60.143
302,59.977
303,59.811
304,59.644
305,59.477
306,59.309
307,59.141
308,58.972
309,58.802
310,58.632
311,58.462
312,58.292
313,58.122
314,57.951
315,57.780
316,57.609
317,57.438
318,57.267
319,57.097
320,56.926
321,56.755
322,56.585
323,56.415
324,56.246
325,56.077
326,55.908
327,55.740
328,55.572
329,55.405
330,55.238
331,55.072
332,54.907
333,54.743
334,54.580
335,54.417
336,54.255
337,54.095
338,53.935
339,53.777
340,53.619
341,53.463
342,53.308
343,53.154
344,53.002
345,52.850
346,52.701
347,52.552
348,52.406
349,52.260
350,52.117
351,51.975
352,51.834
353,51.695
354,51.558
355,51.423
356,51.290
357,51.158
358,51.028
359,50.901
360,50.775
361,50.651
362,50.530
363,50.410
364,50.292
365,50.177
